name,2023 overall,2022 overall,2021 overall,2020 overall,2019 overall,2023 s1,2022 s1,2021 s1,2020 s1,2019 s1,2023 s2,2022 s2,2021 s2,2020 s2,2019 s2,2023 s3,2022 s3,2021 s3,2020 s3,2019 s3,2023 s4_x,2022 s4,2021 s4,2020 s4,2019 s4,2023 s4_y,2022 s5,2021 s5,2020 s5,2019 s5
Abercrombie & Fitch,0.333,0.187,0.199,0.248,0.204,0.6439393939393939,0.598484848484848,0.568181818181818,0.638297872340425,0.428571428571428,0.45454545454545453,1.0,0.307692307692307,0.333333333333333,0.166666666666666,0.5135135135135135,0.0821917808219178,0.0945945945945946,0.0632911392405063,0.0470588235294117,0.21428571428571427,0.16,0.212765957446808,0.238095238095238,0.285714285714285,0.1111111111111111,0.10843373493975904,0.120481927710843,0.163265306122448,0.117647058823529
Adidas,0.56,0.512,0.544,0.694,0.642,0.9393939393939394,0.8788,0.909090909090909,0.989361702127659,0.989795918367346,1.0,0.0,0.615384615384615,1,0.666666666666666,0.5675675675675675,0.547945205479452,0.581081081081081,0.620253164556962,0.505882352941176,0.5,0.44,0.489361702127659,0.587301587301587,0.585714285714285,0.3888888888888889,0.3132530120481928,0.385542168674698,0.591836734693877,0.588235294117647
The North Face,0.655,0.658,0.657,0.586,0.566,0.9015151515151515,0.9242,0.916666666666666,0.882978723404255,0.806122448979591,0.6363636363636364,0.2727272727272727,0.615384615384615,0.5,0.833333333333333,0.8513513513513513,0.821917808219178,0.837837837837837,0.810126582278481,0.647058823529411,0.6190476190476191,0.52,0.531914893617021,0.269841269841269,0.328571428571428,0.4222222222222222,0.46987951807228917,0.469879518072289,0.36734693877551,0.411764705882352
Timberland,0.655,0.658,0.657,0.588,0.566,0.9015151515151515,0.9242,0.916666666666666,0.893617021276595,0.806122448979591,0.6363636363636364,0.2727272727272727,0.615384615384615,0.5,0.833333333333333,0.8513513513513513,0.821917808219178,0.837837837837837,0.810126582278481,0.647058823529411,0.6190476190476191,0.52,0.531914893617021,0.269841269841269,0.328571428571428,0.4222222222222222,0.46987951807228917,0.469879518072289,0.36734693877551,0.411764705882352
COACH,0.415,0.265,0.216,0.188,0.22,0.6287878787878788,0.6136,0.575757575757575,0.595744680851063,0.612244897959183,0.8181818181818182,0.45454545454545453,0.307692307692307,0.166666666666666,0.333333333333333,0.2702702702702703,0.0136986301369863,0.0945945945945946,0.0126582278481012,0.0117647058823529,0.38095238095238093,0.28,0.148936170212765,0.142857142857142,0.171428571428571,0.4222222222222222,0.26506024096385544,0.204819277108433,0.142857142857142,0.235294117647058
Gap,0.481,0.438,0.492,0.5,0.538,0.9166666666666666,0.7879,0.909090909090909,0.914893617021276,0.908163265306122,0.5454545454545454,0.0,0.461538461538461,0.5,0.5,0.36486486486486486,0.3561643835616438,0.445945945945945,0.455696202531645,0.447058823529411,0.5476190476190477,0.46,0.531914893617021,0.38095238095238,0.471428571428571,0.37777777777777777,0.3253012048192771,0.349397590361445,0.326530612244897,0.38235294117647
Gucci,0.797,0.59,0.557,0.484,0.4,0.9772727272727273,0.7727,0.886363636363636,1.0,1.0,0.9090909090909091,0.18181818181818182,0.846153846153846,1,1.0,0.9594594594594594,0.3561643835616438,0.31081081081081,0.126582278481012,0.0117647058823529,0.5952380952380952,0.46,0.446808510638297,0.428571428571428,0.285714285714285,0.6777777777777778,0.6867469879518072,0.662650602409638,0.510204081632653,0.529411764705882
H&M,0.711,0.659,0.675,0.728,0.612,0.9015151515151515,0.8712,0.871212121212121,0.914893617021276,0.918367346938775,1.0,0.0,0.846153846153846,1,0.833333333333333,0.7432432432432432,0.821917808219178,0.81081081081081,0.772151898734177,0.458823529411764,0.5714285714285714,0.32,0.51063829787234,0.555555555555555,0.5,0.6444444444444445,0.6144578313253012,0.542168674698795,0.632653061224489,0.705882352941176
Levi Strauss & Co,0.604,0.494,0.443,0.478,0.51,0.9090909090909091,0.2197,0.931818181818181,0.882978723404255,0.826530612244898,0.8181818181818182,0.18181818181818182,0.615384615384615,0.5,0.5,0.7567567567567568,0.547945205479452,0.432432432432432,0.379746835443038,0.48235294117647,0.42857142857142855,0.3,0.276595744680851,0.428571428571428,0.4,0.4222222222222222,0.3493975903614458,0.325301204819277,0.306122448979591,0.352941176470588
Old Navy,0.481,0.438,0.492,0.5,0.538,0.9166666666666666,0.5379,0.909090909090909,0.914893617021276,0.908163265306122,0.5454545454545454,0.2727272727272727,0.461538461538461,0.5,0.5,0.36486486486486486,0.3561643835616438,0.445945945945945,0.455696202531645,0.447058823529411,0.5476190476190477,0.46,0.531914893617021,0.38095238095238,0.471428571428571,0.37777777777777777,0.3253012048192771,0.349397590361445,0.326530612244897,0.38235294117647
